팀명,년도,순위_hit,AVG_hit,G_hit,PA,AB,R_hit,H_hit,2B_hit,3B_hit,HR_hit,TB,RBI,SAC_hit,SF_hit,BB_hit,IBB_hit,HBP_hit,SO_hit,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,순위_pit,ERA,G_pit,W,L,SV,HLD,WPCT,IP,H_pit,HR_pit,BB_pit,HBP_pit,SO_pit,R_pit,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG_pit,2B_pit,3B_pit,SAC_pit,SF_pit,IBB_pit,WP,BK,순위_run,G_run,SBA,SB_run,CS_run,SB%,OOB,PKO_run,순위_def,G_def,E,PKO_def,PO,A,DP,FPCT,PB,SB_def,CS_def,CS%
롯데,2001,1,0.28,133,5308,4521,718,1265,247,24,121,1923,671,82,60,585,39,60,817,89,0.425,0.365,0.79,133,0.288,0.244,4,4.68,133,59,70,33,28,0.457,1171 2/3,1238,128,523,61,790,670,609,1.5,0,3,43,0,5189,19593,0.276,251,22,86,38,23,53,2,4,133,159,106,53,66.7,0,0,7,133,99,9,3515,1518,141,0.981,12,85,58,40.6
KIA,2001,2,0.278,133,5189,4542,683,1263,221,17,142,1944,637,51,43,497,21,56,774,129,0.428,0.353,0.781,133,0.272,0.225,7,5.01,133,60,68,28,16,0.469,1178 2/3,1231,160,499,79,743,727,656,1.47,10,6,35,0,5207,19799,0.272,212,16,71,36,17,51,3,7,133,155,92,63,59.4,0,0,6,133,107,1,3536,1477,134,0.979,10,100,53,34.6
삼성,2001,3,0.277,133,5280,4553,739,1262,244,21,162,2034,695,69,42,520,27,95,814,111,0.447,0.36,0.807,133,0.267,0.223,3,4.39,133,81,52,43,20,0.609,1187 1/3,1195,132,561,61,844,644,579,1.48,7,6,51,0,5243,20128,0.265,207,13,76,37,20,38,8,8,133,117,73,44,62.4,0,0,1,133,79,7,3562,1365,112,0.984,10,95,48,33.6
두산,2001,4,0.276,133,5303,4583,732,1266,221,26,130,1929,688,54,46,560,27,60,697,116,0.421,0.359,0.78,133,0.278,0.163,6,4.96,133,65,63,35,40,0.508,1180 1/3,1290,128,546,60,799,733,650,1.56,1,3,27,0,5282,20071,0.284,196,23,85,48,17,47,0,2,133,166,132,34,79.5,0,0,5,133,109,3,3541,1599,140,0.979,12,126,56,30.8
LG,2001,5,0.276,133,5319,4521,669,1247,219,24,85,1769,630,114,41,590,24,52,759,100,0.391,0.363,0.754,133,0.28,0.263,8,5.09,133,58,67,26,27,0.464,1184 2/3,1253,127,647,69,765,732,670,1.6,0,3,43,0,5380,21119,0.277,204,23,99,46,43,52,6,6,133,154,96,58,62.3,0,0,3,133,103,12,3554,1485,129,0.98,16,110,55,33.3
한화,2001,6,0.275,133,5259,4556,659,1255,211,15,148,1940,628,75,34,549,28,45,877,106,0.426,0.357,0.783,133,0.265,0.233,5,4.82,133,61,68,25,33,0.473,1185,1288,142,541,66,813,733,634,1.54,7,5,49,0,5331,20774,0.28,238,26,73,45,44,57,5,1,133,200,135,65,67.5,0,0,2,133,117,2,3555,1413,130,0.977,9,111,48,30.2
현대,2001,7,0.268,133,5225,4445,711,1192,166,20,169,1905,667,77,29,598,14,76,911,109,0.429,0.362,0.791,133,0.279,0.232,1,4.34,133,72,57,39,23,0.558,1183 1/3,1250,98,531,54,757,628,570,1.51,6,3,56,0,5218,20097,0.277,219,26,78,37,8,54,1,5,133,154,99,55,64.3,0,0,4,133,116,6,3550,1553,147,0.978,5,96,69,41.8
SK,2001,8,0.26,133,5077,4400,596,1143,215,11,113,1719,555,122,26,457,23,71,770,95,0.391,0.337,0.728,133,0.255,0.274,2,4.38,133,60,71,33,22,0.458,1171 1/3,1148,155,508,65,908,640,570,1.41,11,8,61,0,5110,19710,0.259,217,9,76,34,31,54,1,3,133,182,123,59,67.6,0,0,8,133,96,3,3514,1434,124,0.981,19,106,44,29.3
삼성,2002,1,0.284,133,5304,4648,777,1321,266,16,191,2192,731,55,34,469,26,97,804,116,0.472,0.36,0.832,133,0.278,0.165,1,3.92,133,82,47,37,22,0.636,1197 2/3,1182,148,385,74,987,581,521,1.31,2,8,45,0,5089,19535,0.262,214,22,80,33,16,45,3,8,133,76,47,29,61.8,49,5,1,133,87,5,3593,1409,115,0.983,14,74,65,46.8
SK,2002,2,0.27,133,5090,4475,618,1207,204,27,158,1939,587,96,34,385,15,100,815,94,0.433,0.339,0.772,133,0.271,0.218,6,4.47,133,61,69,25,15,0.469,1179,1150,176,402,78,948,638,586,1.32,5,7,54,0,5074,19578,0.255,209,15,55,23,34,34,3,5,133,135,80,55,59.3,60,11,7,133,94,8,3537,1363,95,0.981,8,129,50,27.9
KIA,2002,3,0.269,133,5200,4575,643,1230,220,14,120,1838,611,45,35,454,32,91,914,107,0.402,0.344,0.746,133,0.268,0.25,2,3.92,133,78,51,38,30,0.605,1195,1185,151,370,97,862,580,520,1.3,10,7,55,0,5106,19112,0.26,159,12,54,34,14,55,2,1,133,194,155,39,79.9,54,8,2,133,101,1,3585,1403,127,0.98,12,75,60,44.4
LG,2002,4,0.261,133,5121,4492,583,1173,212,22,100,1729,541,93,37,412,29,86,951,91,0.385,0.332,0.717,133,0.258,0.178,3,3.93,133,66,61,32,40,0.52,1190 2/3,1119,135,501,100,896,575,520,1.36,2,9,38,0,5145,20432,0.252,185,19,74,26,30,40,5,2,133,203,140,63,69.0,46,7,3,133,91,10,3572,1369,139,0.982,8,67,48,41.7
현대,2002,5,0.261,133,5140,4444,658,1160,191,25,173,1920,643,99,34,464,26,99,945,82,0.432,0.342,0.774,133,0.27,0.209,5,4.23,133,70,58,38,36,0.547,1186 1/3,1219,142,416,64,890,614,558,1.38,3,6,49,0,5131,19927,0.268,230,10,64,32,12,54,5,6,133,129,79,50,61.2,50,6,4,133,82,10,3559,1445,125,0.984,12,82,46,35.9
두산,2002,6,0.261,133,5083,4498,587,1173,174,21,130,1779,556,47,46,434,17,58,794,107,0.396,0.331,0.727,133,0.255,0.266,4,3.93,133,66,65,38,43,0.504,1183,1139,99,479,60,954,562,517,1.37,3,6,60,0,5087,19237,0.257,187,23,77,33,30,44,2,3,133,148,106,42,71.6,46,1,6,133,88,3,3549,1447,130,0.983,7,103,53,34.0
한화,2002,7,0.256,133,5062,4491,603,1148,206,10,170,1884,570,52,22,446,22,49,1064,106,0.42,0.328,0.748,133,0.251,0.189,8,4.79,133,59,69,32,32,0.461,1184 2/3,1254,146,392,102,953,672,631,1.39,8,5,54,0,5198,20061,0.272,229,25,62,38,29,42,4,4,133,159,94,65,59.1,38,3,5,133,85,10,3554,1363,94,0.983,9,116,43,27.0
롯데,2002,8,0.245,133,4986,4512,463,1105,206,19,85,1604,443,49,22,324,14,78,978,75,0.355,0.305,0.66,132,0.224,0.131,7,4.72,133,35,97,13,19,0.265,1168,1269,130,443,83,775,710,612,1.47,5,7,49,0,5156,19635,0.281,266,28,70,45,16,40,1,7,133,139,76,63,54.7,51,9,8,133,117,2,3504,1523,165,0.977,13,107,41,27.7
현대,2003,1,0.286,133,5313,4483,723,1280,208,15,175,2043,673,139,38,543,23,109,727,100,0.456,0.373,0.829,133,0.272,0.208,3,4.13,133,80,51,39,43,0.611,1190,1245,120,457,62,840,627,546,1.43,2,4,58,0,5197,20181,0.273,229,17,92,33,6,56,2,6,133,123,75,48,61.0,72,5,2,133,112,3,3570,1448,131,0.978,9,120,73,37.8
삼성,2003,2,0.284,133,5241,4564,769,1295,236,14,213,2198,744,73,38,481,19,85,661,131,0.482,0.36,0.842,133,0.293,0.206,5,4.37,133,76,53,30,41,0.589,1183,1199,133,494,59,808,613,574,1.43,2,5,45,0,5150,19834,0.268,222,24,95,29,15,46,3,8,133,88,56,32,63.6,41,5,3,133,75,10,3549,1379,118,0.985,9,81,54,40.0
